Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Department of Defense-Military,Trust Funds,Host Nation Support Fund for Relocation,97-8337,No Year,No Year,97-8337 /X - Host Nation Support Fund for Relocation,$101.8M,$358.2M,28.4%
Department of Defense-Military,Operation and Maintenance,Department of Defense Acquisition Workforce Development Fund,97-0111,FY2015-FY2017,2017,97-0111 15/17 - Department of Defense Acquisition Workforce Development Fund,$22.9M,$351.7M,6.5%
Department of Defense-Military,Family Housing,"Family Housing Operation and Maintenance, Army",21-0725,FY2017,2017,"21-0725 /17 - Family Housing Operation and Maintenance, Army",$61.7M,$342.7M,18.0%
Department of Defense-Military,Procurement,Joint Improvised Explosive Device Defeat Fund,97-2093,FY2017-FY2019,2019,97-2093 17/19 - Joint Improvised Explosive Device Defeat Fund,$154.7M,$339.5M,45.6%
Department of Defense-Military,Operation and Maintenance,Office of the Inspector General,97-0107,FY2017,2017,97-0107 /17 - Office of the Inspector General,$45.9M,$338.6M,13.6%
Department of Defense-Military,Operation and Maintenance,Iraq Train and Equip Fund,21-2097,FY2016-FY2017,2017,21-2097 16/17 - Iraq Train and Equip Fund,$30.7M,$337.5M,9.1%
Department of Defense-Military,Family Housing,"Family Housing Operation and Maintenance, Navy and Marine Corps",17-0735,FY2017,2017,"17-0735 /17 - Family Housing Operation and Maintenance, Navy and Marine Corps",$59.7M,$330.6M,18.1%
Department of Defense-Military,Operation and Maintenance,Cooperative Threat Reduction Account,97-0134,FY2017-FY2019,2019,97-0134 17/19 - Cooperative Threat Reduction Account,$91.1M,$328.6M,27.7%
Department of Defense-Military,Procurement,"Procurement of Ammunition, Air Force",57-3011,FY2015-FY2017,2017,"57-3011 15/17 - Procurement of Ammunition, Air Force",$103.5M,$317.4M,32.6%
Department of Defense-Military,Military Construction,"Military Construction, Army National Guard",21-2085,FY2017-FY2021,2021,"21-2085 17/21 - Military Construction, Army National Guard",$226.7M,$312.4M,72.6%
Department of Defense-Military,Procurement,"Shipbuilding and Conversion, Navy",17-1611,FY2010-FY2018,2018,"17-1611 10/18 - Shipbuilding and Conversion, Navy",$204.8M,$309.1M,66.2%
Department of Defense-Military,"Research, Development, Test, and Evaluation","Research, Development, Test and Evaluation, Navy",17-1319,No Year,No Year,"17-1319 /X - Research, Development, Test and Evaluation, Navy",$108.5M,$308.9M,35.1%
Department of Defense-Military,Operation and Maintenance,Iraq Train and Equip Fund,21-2097,FY2017-FY2018,2018,21-2097 17/18 - Iraq Train and Equip Fund,$11.6M,$289.5M,4.0%
Department of Defense-Military,Family Housing,"Family Housing Operation and Maintenance, Air Force",57-0745,FY2017,2017,"57-0745 /17 - Family Housing Operation and Maintenance, Air Force",$70.7M,$282.7M,25.0%
Department of Defense-Military,Operation and Maintenance,"Operation and Maintenance, Marine Corps Reserve",17-1107,FY2017,2017,"17-1107 /17 - Operation and Maintenance, Marine Corps Reserve",$25.2M,$275.6M,9.1%
Department of Defense-Military,Operation and Maintenance,Afghanistan Security Forces Fund,21-2091,No Year,No Year,21-2091 /X - Afghanistan Security Forces Fund,$125.9M,$274.4M,45.9%
Department of Defense-Military,Revolving and Management Funds,National Defense Stockpile Transaction Fund,97-4555,No Year,No Year,97-4555 /X - National Defense Stockpile Transaction Fund,$235.3M,$266.9M,88.2%
Department of Defense-Military,Operation and Maintenance,Defense Health Program,97-0130,FY2016-FY2018,2018,97-0130 16/18 - Defense Health Program,$108.0M,$252.3M,42.8%
Department of Defense-Military,Procurement,Defense Production Act Purchases,97-0360,No Year,No Year,97-0360 /X - Defense Production Act Purchases,$212.6M,$250.7M,84.8%
Department of Defense-Military,Military Construction,"Military Construction, Navy",17-1205,FY2013-FY2017,2017,"17-1205 13/17 - Military Construction, Navy",$155.3M,$249.1M,62.3%
Department of Defense-Military,Procurement,"Procurement, Marine Corps",17-1109,FY2016-FY2018,2018,"17-1109 16/18 - Procurement, Marine Corps",$71.9M,$245.4M,29.3%
Department of Defense-Military,Operation and Maintenance,"Operation and Maintenance, Army",21-2020,No Year,No Year,"21-2020 /X - Operation and Maintenance, Army",$184.4M,$243.0M,75.9%
Department of Defense-Military,Family Housing,"Family Housing Construction, Air Force",57-0740,FY2016-FY2020,2020,"57-0740 16/20 - Family Housing Construction, Air Force",$224.8M,$227.1M,99.0%
Department of Defense-Military,Operation and Maintenance,Emergency Response Fund,97-0833,No Year,No Year,97-0833 /X - Emergency Response Fund,$213.2M,$213.2M,100.0%
Department of Defense-Military,Military Construction,"Military Construction, Air Force",57-3300,FY2015-FY2019,2019,"57-3300 15/19 - Military Construction, Air Force",$87.4M,$211.7M,41.3%
Department of Defense-Military,Military Construction,"Military Construction, Air Force Reserve",57-3730,FY2017-FY2021,2021,"57-3730 17/21 - Military Construction, Air Force Reserve",$196.8M,$197.9M,99.4%
Department of Defense-Military,Operation and Maintenance,Lease of Department of Defense Real Property,97-5189,No Year,No Year,97-5189 /X - Lease of Department of Defense Real Property,$178.1M,$194.6M,91.5%
Department of Defense-Military,"Research, Development, Test, and Evaluation","Research, Development, Test and Evaluation, Army",21-2040,No Year,No Year,"21-2040 /X - Research, Development, Test and Evaluation, Army",$85.3M,$192.3M,44.3%
Department of Defense-Military,Procurement,"Procurement of Weapons and Tracked Combat Vehicles, Army",21-2033,FY2015-FY2017,2017,"21-2033 15/17 - Procurement of Weapons and Tracked Combat Vehicles, Army",$32.0M,$189.0M,16.9%
Department of Defense-Military,"Research, Development, Test, and Evaluation","Operational Test and Evaluation, Defense",97-0460,FY2017-FY2018,2018,"97-0460 17/18 - Operational Test and Evaluation, Defense",$37.1M,$188.7M,19.7%
Department of Defense-Military,Procurement,"Weapons Procurement, Navy",17-1507,FY2015-FY2017,2017,"17-1507 15/17 - Weapons Procurement, Navy",$17.0M,$186.7M,9.1%
Department of Defense-Military,Procurement,"Procurement of Ammunition, Navy and Marine Corps",17-1508,FY2016-FY2018,2018,"17-1508 16/18 - Procurement of Ammunition, Navy and Marine Corps",$31.4M,$173.9M,18.0%
Department of Defense-Military,Military Construction,"Military Construction, Air National Guard",57-3830,FY2017-FY2021,2021,"57-3830 17/21 - Military Construction, Air National Guard",$153.4M,$168.0M,91.3%
Department of Defense-Military,Procurement,"Shipbuilding and Conversion, Navy",17-1611,FY2017,2017,"17-1611 /17 - Shipbuilding and Conversion, Navy",$40.8M,$160.3M,25.4%
Department of Defense-Military,Family Housing,"Family Housing Construction, Army",21-0720,FY2017-FY2021,2021,"21-0720 17/21 - Family Housing Construction, Army",$13.7M,$158.2M,8.7%
Department of Defense-Military,Family Housing,Family Housing Improvement Guaranteed Loan Financing Account,97-4167,No Year,No Year,97-4167 /X - Family Housing Improvement Guaranteed Loan Financing Account,$135.6M,$144.4M,93.9%
Department of Defense-Military,"Research, Development, Test, and Evaluation","Research, Development, Test and Evaluation, Air Force",57-3600,No Year,No Year,"57-3600 /X - Research, Development, Test and Evaluation, Air Force",$63.7M,$139.0M,45.8%
Department of Defense-Military,Military Construction,"Military Construction, Army Reserve",21-2086,FY2016-FY2020,2020,"21-2086 16/20 - Military Construction, Army Reserve",$103.6M,$137.1M,75.5%
Department of Defense-Military,Operation and Maintenance,"Overseas Humanitarian, Disaster, and Civic Aid",97-0819,FY2017-FY2018,2018,"97-0819 17/18 - Overseas Humanitarian, Disaster, and Civic Aid",$111.0M,$123.1M,90.1%
Department of Defense-Military,Family Housing,Family Housing Improvement Direct Loan Financing Account,97-4166,No Year,No Year,97-4166 /X - Family Housing Improvement Direct Loan Financing Account,$17.2M,$122.8M,14.0%
Department of Defense-Military,Family Housing,Department of Defense Family Housing Improvement Fund,97-0834,No Year,No Year,97-0834 /X - Department of Defense Family Housing Improvement Fund,$32.0M,$118.2M,27.1%
Department of Defense-Military,Military Construction,"Military Construction, Army National Guard",21-2085,FY2013-FY2017,2017,"21-2085 13/17 - Military Construction, Army National Guard",$91.7M,$111.6M,82.2%
Department of Defense-Military,Military Construction,"Military Construction, Air Force",57-3300,FY2015-FY2017,2017,"57-3300 15/17 - Military Construction, Air Force",$77.1M,$110.5M,69.8%
Department of Defense-Military,Military Construction,"Military Construction, Army Reserve",21-2086,FY2017-FY2021,2021,"21-2086 17/21 - Military Construction, Army Reserve",$96.6M,$108.2M,89.2%
Department of Defense-Military,Operation and Maintenance,Defense Health Program,97-0130,FY2015-FY2017,2017,97-0130 15/17 - Defense Health Program,$19.1M,$107.5M,17.7%
Department of Defense-Military,Military Construction,"Military Construction, Air National Guard",57-3830,FY2016-FY2020,2020,"57-3830 16/20 - Military Construction, Air National Guard",$75.1M,$101.8M,73.8%
Department of Defense-Military,Family Housing,"Family Housing Construction, Air Force",57-0740,FY2013-FY2017,2017,"57-0740 13/17 - Family Housing Construction, Air Force",$98.3M,$100.7M,97.7%
Department of Defense-Military,Family Housing,"Family Housing Construction, Navy and Marine Corps",17-0730,FY2017-FY2021,2021,"17-0730 17/21 - Family Housing Construction, Navy and Marine Corps",$95.5M,$95.5M,100.0%
Department of Defense-Military,Procurement,"Chemical Agents and Munitions Destruction, Defense",97-0390,FY2017,2017,"97-0390 /17 - Chemical Agents and Munitions Destruction, Defense",$28.4M,$92.1M,30.8%
Department of Defense-Military,Procurement,Joint Improvised Explosive Device Defeat Fund,21-2093,FY2017-FY2019,2019,21-2093 17/19 - Joint Improvised Explosive Device Defeat Fund,$0.1M,$87.8M,0.2%
Department of Defense-Military,Procurement,Joint Improvised Explosive Device Defeat Fund,21-2093,FY2016-FY2018,2018,21-2093 16/18 - Joint Improvised Explosive Device Defeat Fund,$23.3M,$82.5M,28.3%
Department of Defense-Military,Military Construction,"Military Construction, Army National Guard",21-2085,FY2016-FY2020,2020,"21-2085 16/20 - Military Construction, Army National Guard",$59.0M,$81.4M,72.5%
Department of Defense-Military,Operation and Maintenance,"Overseas Humanitarian, Disaster, and Civic Aid",97-0819,FY2016-FY2017,2017,"97-0819 16/17 - Overseas Humanitarian, Disaster, and Civic Aid",$32.0M,$80.1M,40.0%
Department of Defense-Military,Trust Funds,Foreign National Employees Separation Pay,97-8165,No Year,No Year,97-8165 /X - Foreign National Employees Separation Pay,$69.9M,$76.5M,91.4%
Department of Defense-Military,Procurement,"Chemical Agents and Munitions Destruction, Defense",97-0390,FY2016-FY2017,2017,"97-0390 16/17 - Chemical Agents and Munitions Destruction, Defense",$3.5M,$74.8M,4.6%
Department of Defense-Military,Trust Funds,Voluntary Separation Incentive Fund,97-8335,No Year,No Year,97-8335 /X - Voluntary Separation Incentive Fund,$2.2M,$72.0M,3.0%
Department of Defense-Military,Operation and Maintenance,Mutually Beneficial Activities,97-5613,No Year,No Year,97-5613 /X - Mutually Beneficial Activities,$65.6M,$68.8M,95.3%
Department of Defense-Military,Family Housing,Homeowners Assistance Fund,97-4090,No Year,No Year,97-4090 /X - Homeowners Assistance Fund,$66.0M,$68.4M,96.5%
Department of Defense-Military,Family Housing,"Family Housing Construction, Air Force",57-0740,FY2017-FY2021,2021,"57-0740 17/21 - Family Housing Construction, Air Force",$66.4M,$66.4M,100.0%
Department of Defense-Military,Operation and Maintenance,Disposal of Department of Defense Real Property,97-5188,No Year,No Year,97-5188 /X - Disposal of Department of Defense Real Property,$61.9M,$65.0M,95.3%
Department of Defense-Military,Family Housing,"Family Housing Construction, Air Force",57-0740,FY2014-FY2018,2018,"57-0740 14/18 - Family Housing Construction, Air Force",$63.4M,$64.0M,99.1%
Department of Defense-Military,Operation and Maintenance,Department of Defense Acquisition Workforce Development Fund,97-0111,FY2017-FY2019,2019,97-0111 17/19 - Department of Defense Acquisition Workforce Development Fund,$63.7M,$63.7M,100.0%
Department of Defense-Military,"Research, Development, Test, and Evaluation","Research, Development, Test and Evaluation, Defense-wide",97-0400,No Year,No Year,"97-0400 /X - Research, Development, Test and Evaluation, Defense-wide",$51.6M,$61.3M,84.1%
Department of Defense-Military,Family Housing,"Family Housing Operation and Maintenance, Defense-Wide",97-0765,FY2017,2017,"97-0765 /17 - Family Housing Operation and Maintenance, Defense-Wide",$4.9M,$59.2M,8.2%
Department of Defense-Military,Military Construction,Department of Defense Base Closure Account 1990,97-0510,No Year,No Year,97-0510 /X - Department of Defense Base Closure Account 1990,$56.5M,$57.4M,98.5%
Department of Defense-Military,Military Construction,"Military Construction, Air Force",57-3300,FY2014-FY2018,2018,"57-3300 14/18 - Military Construction, Air Force",$43.7M,$55.7M,78.4%
Department of Defense-Military,Procurement,"Procurement, Marine Corps",17-1109,FY2015-FY2017,2017,"17-1109 15/17 - Procurement, Marine Corps",$7.9M,$52.5M,15.0%
Department of Defense-Military,Procurement,"Procurement of Ammunition, Navy and Marine Corps",17-1508,FY2015-FY2017,2017,"17-1508 15/17 - Procurement of Ammunition, Navy and Marine Corps",$6.4M,$51.3M,12.4%
Department of Defense-Military,Operation and Maintenance,Cooperative Threat Reduction Account,97-0134,FY2016-FY2018,2018,97-0134 16/18 - Cooperative Threat Reduction Account,$8.8M,$50.7M,17.4%
Department of Defense-Military,Operation and Maintenance,Counterterrorism Partnerships Fund,97-0145,FY2016-FY2017,2017,97-0145 16/17 - Counterterrorism Partnerships Fund,$49.7M,$49.7M,100.0%
Department of Defense-Military,Procurement,Joint Improvised Explosive Device Defeat Fund,21-2093,FY2015-FY2017,2017,21-2093 15/17 - Joint Improvised Explosive Device Defeat Fund,$13.2M,$48.8M,27.0%
Department of Defense-Military,Military Construction,"Military Construction, Army National Guard",21-2085,FY2014-FY2018,2018,"21-2085 14/18 - Military Construction, Army National Guard",$37.4M,$46.5M,80.4%
Department of Defense-Military,Trust Funds,United States Naval General Gift Fund,17-8733,No Year,No Year,17-8733 /X - United States Naval General Gift Fund,$23.2M,$45.0M,51.6%
Department of Defense-Military,Trust Funds,Department of the Army General Gift Fund,21-8927,No Year,No Year,21-8927 /X - Department of the Army General Gift Fund,$30.4M,$43.8M,69.4%
Department of Defense-Military,Military Construction,"Military Construction, Navy Reserve",17-1235,FY2017-FY2021,2021,"17-1235 17/21 - Military Construction, Navy Reserve",$25.2M,$43.1M,58.4%
Department of Defense-Military,Military Construction,"Military Construction, Army Reserve",21-2086,FY2014-FY2018,2018,"21-2086 14/18 - Military Construction, Army Reserve",$21.9M,$41.9M,52.3%
Department of Defense-Military,Military Construction,"Military Construction, Army Reserve",21-2086,FY2015-FY2019,2019,"21-2086 15/19 - Military Construction, Army Reserve",$13.2M,$39.2M,33.7%
Department of Defense-Military,Allowances,Department of Defense Closed Accounts,97-3999,No Year,No Year,97-3999 /X - Department of Defense Closed Accounts,$38.8M,$38.8M,100.0%
Department of Defense-Military,Procurement,"Shipbuilding and Conversion, Navy",17-1611,FY2009-FY2020,2020,"17-1611 09/20 - Shipbuilding and Conversion, Navy",$20.2M,$38.6M,52.3%
Department of Defense-Military,Military Construction,"Military Construction, Army National Guard",21-2085,FY2015-FY2019,2019,"21-2085 15/19 - Military Construction, Army National Guard",$24.9M,$37.6M,66.3%
Department of Defense-Military,Military Construction,"Military Construction, Army",21-2050,FY2015-FY2017,2017,"21-2050 15/17 - Military Construction, Army",$37.0M,$37.0M,100.0%
Department of Defense-Military,Military Construction,"Military Construction, Navy Reserve",17-1235,FY2016-FY2020,2020,"17-1235 16/20 - Military Construction, Navy Reserve",$28.3M,$35.7M,79.2%
Department of Defense-Military,Family Housing,"Family Housing Construction, Army",21-0720,FY2016-FY2020,2020,"21-0720 16/20 - Family Housing Construction, Army",$29.5M,$33.1M,89.0%
Department of Defense-Military,Military Construction,"Military Construction, Air Force Reserve",57-3730,FY2015-FY2019,2019,"57-3730 15/19 - Military Construction, Air Force Reserve",$2.6M,$33.1M,7.8%
Department of Defense-Military,Military Construction,"Military Construction, Air Force Reserve",57-3730,FY2016-FY2020,2020,"57-3730 16/20 - Military Construction, Air Force Reserve",$28.3M,$33.1M,85.5%
Department of Defense-Military,Procurement,"Shipbuilding and Conversion, Navy",17-1611,FY2008-FY2017,2017,"17-1611 08/17 - Shipbuilding and Conversion, Navy",$7.8M,$32.2M,24.3%
Department of Defense-Military,"Research, Development, Test, and Evaluation","Operational Test and Evaluation, Defense",97-0460,FY2016-FY2017,2017,"97-0460 16/17 - Operational Test and Evaluation, Defense",$4.8M,$22.0M,22.1%
Department of Defense-Military,Family Housing,"Family Housing Construction, Navy and Marine Corps",17-0730,FY2014-FY2018,2018,"17-0730 14/18 - Family Housing Construction, Navy and Marine Corps",$19.9M,$20.6M,96.6%
Department of Defense-Military,Military Construction,"Military Construction, Navy Reserve",17-1235,FY2013-FY2017,2017,"17-1235 13/17 - Military Construction, Navy Reserve",$20.1M,$20.5M,98.4%
Department of Defense-Military,Operation and Maintenance,"Operation and Maintenance, Air Force",69-57-3400,FY2017,2017,"69-57-3400 /17 - Operation and Maintenance, Air Force",$7.6M,$20.2M,37.6%
Department of Defense-Military,Military Construction,"Military Construction, Navy Reserve",17-1235,FY2015-FY2019,2019,"17-1235 15/19 - Military Construction, Navy Reserve",$19.3M,$20.0M,96.7%
Department of Defense-Military,Family Housing,"Family Housing Construction, Army",21-0720,FY2015-FY2019,2019,"21-0720 15/19 - Family Housing Construction, Army",$17.3M,$19.5M,88.9%
Department of Defense-Military,Family Housing,"Family Housing Construction, Navy and Marine Corps",17-0730,FY2016-FY2020,2020,"17-0730 16/20 - Family Housing Construction, Navy and Marine Corps",$10.4M,$19.4M,53.5%
Department of Defense-Military,Procurement,"Other Procurement, Army",21-2035,No Year,No Year,"21-2035 /X - Other Procurement, Army",$14.5M,$18.5M,78.6%
Department of Defense-Military,Operation and Maintenance,Defense Health Program,97-0130,No Year,No Year,97-0130 /X - Defense Health Program,$18.1M,$18.4M,98.3%
Department of Defense-Military,Military Construction,"Military Construction, Army Reserve",21-2086,FY2015-FY2018,2018,"21-2086 15/18 - Military Construction, Army Reserve",$7.1M,$17.7M,40.1%
Department of Defense-Military,Trust Funds,Department of the Air Force General Gift Fund,57-8928,No Year,No Year,57-8928 /X - Department of the Air Force General Gift Fund,$13.4M,$17.6M,76.1%
Department of Defense-Military,Procurement,"Other Procurement, Air Force",57-3080,No Year,No Year,"57-3080 /X - Other Procurement, Air Force",$10.3M,$17.4M,59.1%
Department of Defense-Military,Procurement,"Aircraft Procurement, Army",21-2031,No Year,No Year,"21-2031 /X - Aircraft Procurement, Army",$6.7M,$16.1M,41.4%
Department of Defense-Military,Procurement,"Other Procurement, Navy",17-1810,No Year,No Year,"17-1810 /X - Other Procurement, Navy",$13.8M,$15.4M,89.8%
Department of Defense-Military,Procurement,"Chemical Agents and Munitions Destruction, Defense",97-0390,FY2017-FY2019,2019,"97-0390 17/19 - Chemical Agents and Munitions Destruction, Defense",$0.0M,$15.1M,0.0%
Department of Defense-Military,Operation and Maintenance,Department of Defense Vietnam War Commemoration Fund,97-5750,No Year,No Year,97-5750 /X - Department of Defense Vietnam War Commemoration Fund,$13.3M,$14.3M,93.1%
Department of Defense-Military,Operation and Maintenance,United States Court of Appeals for the Armed Forces,97-0104,FY2017,2017,97-0104 /17 - United States Court of Appeals for the Armed Forces,$1.2M,$14.2M,8.6%
Department of Defense-Military,Operation and Maintenance,Restoration of the Rocky Mountain Arsenal,21-5098,No Year,No Year,21-5098 /X - Restoration of the Rocky Mountain Arsenal,$12.2M,$13.7M,89.1%
Department of Defense-Military,Military Construction,"Military Construction, Air National Guard",57-3830,FY2015-FY2019,2019,"57-3830 15/19 - Military Construction, Air National Guard",$9.8M,$13.6M,72.3%
Department of Defense-Military,Military Construction,"Military Construction, Air Force Reserve",57-3730,FY2014-FY2018,2018,"57-3730 14/18 - Military Construction, Air Force Reserve",$11.0M,$12.3M,89.2%
Department of Defense-Military,Trust Funds,"Ships' Stores Profits, Navy",17-8723,No Year,No Year,"17-8723 /X - Ships' Stores Profits, Navy",$1.2M,$12.3M,9.6%
Department of Defense-Military,Military Construction,"Chemical Demilitarization Construction, Defense-wide",97-0391,FY2015-FY2019,2019,"97-0391 15/19 - Chemical Demilitarization Construction, Defense-wide",$11.7M,$11.9M,98.2%
Department of Defense-Military,Operation and Maintenance,Emergency Response,97-4965,No Year,No Year,97-4965 /X - Emergency Response,$11.5M,$11.5M,100.0%
Department of Defense-Military,Military Construction,"Military Construction, Air National Guard",57-3830,FY2014-FY2018,2018,"57-3830 14/18 - Military Construction, Air National Guard",$3.8M,$10.2M,37.0%
Department of Defense-Military,Operation and Maintenance,Overseas Contingency Operations Transfer Fund,97-0118,No Year,No Year,97-0118 /X - Overseas Contingency Operations Transfer Fund,$10.0M,$10.0M,100.0%
Department of Defense-Military,Operation and Maintenance,"Operation and Maintenance, Air Force",57-3400,No Year,No Year,"57-3400 /X - Operation and Maintenance, Air Force",$7.7M,$10.0M,76.8%
Department of Defense-Military,Operation and Maintenance,"Operation and Maintenance, Navy",17-1804,No Year,No Year,"17-1804 /X - Operation and Maintenance, Navy",$3.8M,$9.8M,38.5%
Department of Defense-Military,Military Construction,"Military Construction, Navy Reserve",17-1235,FY2014-FY2018,2018,"17-1235 14/18 - Military Construction, Navy Reserve",$5.2M,$9.5M,54.8%
Department of Defense-Military,International Reconstruction and Other Assistance,"Iraq Relief and Reconstruction Fund, Army",21-2089,No Year,No Year,"21-2089 /X - Iraq Relief and Reconstruction Fund, Army",$9.2M,$9.4M,97.1%
Department of Defense-Military,Family Housing,"Family Housing Construction, Navy and Marine Corps",17-0730,FY2013-FY2017,2017,"17-0730 13/17 - Family Housing Construction, Navy and Marine Corps",$7.2M,$9.3M,78.0%
Department of Defense-Military,Trust Funds,Department of the Navy General Gift Fund,17-8716,No Year,No Year,17-8716 /X - Department of the Navy General Gift Fund,$6.8M,$8.8M,77.3%
Department of Defense-Military,Military Construction,"Military Construction, Navy",17-1205,FY2015-FY2018,2018,"17-1205 15/18 - Military Construction, Navy",$5.9M,$8.5M,69.8%
Department of Defense-Military,Military Construction,"Chemical Demilitarization Construction, Defense-wide",97-0391,FY2013-FY2017,2017,"97-0391 13/17 - Chemical Demilitarization Construction, Defense-wide",$8.1M,$8.3M,98.0%
Department of Defense-Military,Operation and Maintenance,Support for International Sporting Competitions,97-0838,No Year,No Year,97-0838 /X - Support for International Sporting Competitions,$7.4M,$8.2M,89.5%
Department of Defense-Military,Military Construction,Department of Defense Base Closure Account,69-97-0516,No Year,No Year,69-97-0516 /X - Department of Defense Base Closure Account,$7.8M,$7.8M,100.0%
Department of Defense-Military,Procurement,"Aircraft Procurement, Air Force",57-3010,No Year,No Year,"57-3010 /X - Aircraft Procurement, Air Force",$7.4M,$7.4M,100.0%
Department of Defense-Military,Trust Funds,Department of Defense General Gift Fund,97-8163,No Year,No Year,97-8163 /X - Department of Defense General Gift Fund,$6.6M,$7.1M,93.9%
Department of Defense-Military,Military Construction,"Military Construction, Army Reserve",21-2086,FY2013-FY2017,2017,"21-2086 13/17 - Military Construction, Army Reserve",$-0.3M,$6.5M,-4.3%
Department of Defense-Military,Military Construction,"Military Construction, Air Force",57-3300,No Year,No Year,"57-3300 /X - Military Construction, Air Force",$6.5M,$6.5M,100.0%
Department of Defense-Military,Procurement,"Shipbuilding and Conversion, Navy",17-1611,FY2007-FY2018,2018,"17-1611 07/18 - Shipbuilding and Conversion, Navy",$5.3M,$5.9M,89.8%
Department of Defense-Military,Family Housing,"Family Housing Construction, Air Force",57-0740,FY2015-FY2019,2019,"57-0740 15/19 - Family Housing Construction, Air Force",$5.7M,$5.7M,100.0%
Department of Defense-Military,Military Construction,Department of Defense Base Closure Account 2005,69-97-0512,No Year,No Year,69-97-0512 /X - Department of Defense Base Closure Account 2005,$5.2M,$5.2M,100.0%
Department of Defense-Military,Military Construction,"Military Construction, Army Reserve",69-21-2086,FY2016-FY2020,2020,"69-21-2086 16/20 - Military Construction, Army Reserve",$5.0M,$5.0M,100.0%
Department of Defense-Military,"Research, Development, Test, and Evaluation",Contributions for Renewable Energy Impact Assessments and Mitiga,97-5753,No Year,No Year,97-5753 /X - Contributions for Renewable Energy Impact Assessments and Mitiga,$4.9M,$4.9M,100.0%
Department of Defense-Military,Military Construction,"Military Construction, Defense-wide",97-0500,FY2015-FY2017,2017,"97-0500 15/17 - Military Construction, Defense-wide",$1.5M,$4.7M,31.2%
Department of Defense-Military,Operation and Maintenance,Office of the Inspector General,97-0107,FY2017-FY2018,2018,97-0107 17/18 - Office of the Inspector General,$3.5M,$4.6M,76.3%
Department of Defense-Military,Operation and Maintenance,Cooperative Threat Reduction Account,97-0134,FY2015-FY2017,2017,97-0134 15/17 - Cooperative Threat Reduction Account,$2.7M,$4.4M,60.9%
Department of Defense-Military,Procurement,Coastal Defense Augmentation,17-0380,No Year,No Year,17-0380 /X - Coastal Defense Augmentation,$4.4M,$4.4M,100.0%
Department of Defense-Military,Family Housing,"Family Housing Construction, Navy and Marine Corps",17-0730,FY2015-FY2019,2019,"17-0730 15/19 - Family Housing Construction, Navy and Marine Corps",$3.3M,$4.2M,77.6%
Department of Defense-Military,Procurement,"Weapons Procurement, Navy",17-1507,No Year,No Year,"17-1507 /X - Weapons Procurement, Navy",$2.5M,$4.2M,59.9%
Department of Defense-Military,Trust Funds,National Security Education Trust Fund,97-8168,No Year,No Year,97-8168 /X - National Security Education Trust Fund,$4.2M,$4.2M,100.0%
Department of Defense-Military,Military Construction,"Military Construction, Air Force",57-3300,FY2013-FY2017,2017,"57-3300 13/17 - Military Construction, Air Force",$2.7M,$3.2M,82.8%
Department of Defense-Military,Operation and Maintenance,Support of Athletic Programs,57-5616,No Year,No Year,57-5616 /X - Support of Athletic Programs,$3.2M,$3.2M,100.0%
Department of Defense-Military,Operation and Maintenance,Cooperative Threat Reduction Account,97-0134,No Year,No Year,97-0134 /X - Cooperative Threat Reduction Account,$3.1M,$3.1M,100.0%
Department of Defense-Military,Operation and Maintenance,Use of Proceeds from the Transfer or Disposition of Commissary F,97-5195,No Year,No Year,97-5195 /X - Use of Proceeds from the Transfer or Disposition of Commissary F,$3.0M,$3.0M,100.0%
Department of Defense-Military,Military Construction,"Military Construction, Navy Reserve",17-1235,FY2015-FY2018,2018,"17-1235 15/18 - Military Construction, Navy Reserve",$2.9M,$2.9M,100.0%
Department of Defense-Military,Family Housing,"Family Housing Construction, Army",21-0720,FY2014-FY2018,2018,"21-0720 14/18 - Family Housing Construction, Army",$0.9M,$2.4M,36.3%
Department of Defense-Military,Operation and Maintenance,"Operation and Maintenance, Marine Corps",17-1106,No Year,No Year,"17-1106 /X - Operation and Maintenance, Marine Corps",$0.2M,$2.2M,8.0%
Department of Defense-Military,Operation and Maintenance,Contributions to the Cooperative Threat Reduction Program,97-5751,No Year,No Year,97-5751 /X - Contributions to the Cooperative Threat Reduction Program,$1.1M,$1.9M,58.8%
Department of Defense-Military,Military Construction,"Military Construction, Air Force",69-57-3300,FY2015-FY2019,2019,"69-57-3300 15/19 - Military Construction, Air Force",$1.8M,$1.8M,100.0%
Department of Defense-Military,Military Construction,"Chemical Demilitarization Construction, Defense-wide",97-0391,FY2014-FY2018,2018,"97-0391 14/18 - Chemical Demilitarization Construction, Defense-wide",$1.7M,$1.7M,99.5%
Department of Defense-Military,Military Construction,"Military Construction, Air National Guard",57-3830,FY2013-FY2017,2017,"57-3830 13/17 - Military Construction, Air National Guard",$0.5M,$1.7M,27.5%
Department of Defense-Military,Procurement,Chemical Agents and Munitions Destruction,21-0390,No Year,No Year,21-0390 /X - Chemical Agents and Munitions Destruction,$1.7M,$1.7M,100.0%
Department of Defense-Military,Operation and Maintenance,Overseas Military Facility Investment Recovery,97-5193,No Year,No Year,97-5193 /X - Overseas Military Facility Investment Recovery,$1.5M,$1.5M,100.0%
Department of Defense-Military,Military Construction,"Military Construction, Air Force Reserve",57-3730,FY2013-FY2017,2017,"57-3730 13/17 - Military Construction, Air Force Reserve",$0.0M,$1.3M,1.8%
