Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Department of Health and Human Services,Indian Health Service,Indian Health Facilities,75-0391,No Year,No Year,75-0391 /X - Indian Health Facilities,$275.2M,$685.2M,40.2%
Department of Health and Human Services,National Institutes of Health,National Center for Advancing Translational Sciences,75-0875,FY2014,2014,75-0875 /14 - National Center for Advancing Translational Sciences,$150.9M,$668.6M,22.6%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Pre-Existing Condition Insurance Plan Program,75-0113,No Year,No Year,75-0113 /X - Pre-Existing Condition Insurance Plan Program,$209.5M,$634.1M,33.0%
Department of Health and Human Services,Centers for Disease Control and Prevention,CDC-Wide Activities and Program Support,75-0943,FY2014,2014,75-0943 /14 - CDC-Wide Activities and Program Support,$259.0M,$618.8M,41.8%
Department of Health and Human Services,Administration for Children and Families,Contingency Fund,75-1522,No Year,No Year,75-1522 /X - Contingency Fund,$0.0M,$614.0M,0.0%
Department of Health and Human Services,Centers for Disease Control and Prevention,Public Health Preparedness and Response,75-0956,No Year,No Year,75-0956 /X - Public Health Preparedness and Response,$364.8M,$558.0M,65.4%
Department of Health and Human Services,Departmental Management,Public Health and Social Services Emergency Fund,75-0140,FY2014,2014,75-0140 /14 - Public Health and Social Services Emergency Fund,$127.9M,$554.9M,23.0%
Department of Health and Human Services,Program Support Center,Retirement Pay and Medical Benefits for Commissioned Officers,75-0379,FY2014,2014,75-0379 /14 - Retirement Pay and Medical Benefits for Commissioned Officers,$60.2M,$540.4M,11.1%
Department of Health and Human Services,Administration for Children and Families,Children and Families Services Programs,75-1536,FY2014-FY2015,2015,75-1536 14/15 - Children and Families Services Programs,$493.0M,$537.9M,91.7%
Department of Health and Human Services,National Institutes of Health,National Human Genome Research Institute,75-0891,FY2014,2014,75-0891 /14 - National Human Genome Research Institute,$63.8M,$535.1M,11.9%
Department of Health and Human Services,Centers for Disease Control and Prevention,CDC Working Capital Fund,75-4553,No Year,No Year,75-4553 /X - CDC Working Capital Fund,$101.2M,$534.9M,18.9%
Department of Health and Human Services,National Institutes of Health,National Institute Arthritis and Musculoskeletal and Skin Diseas,75-0888,FY2014,2014,75-0888 /14 - National Institute Arthritis and Musculoskeletal and Skin Diseas,$60.3M,$532.4M,11.3%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Consumer Operated and Oriented Plan Program Contingency Fund Fin,75-4482,No Year,No Year,75-4482 /X - Consumer Operated and Oriented Plan Program Contingency Fund Fin,$389.8M,$520.0M,74.9%
Department of Health and Human Services,Centers for Disease Control and Prevention,Public Health Scientific Services,75-0959,FY2014,2014,75-0959 /14 - Public Health Scientific Services,$44.7M,$480.5M,9.3%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Program Management,75-0511,FY2014-FY2019,2019,75-0511 14/19 - Program Management,$382.6M,$474.5M,80.6%
Department of Health and Human Services,National Institutes of Health,National Institute on Alcohol Abuse and Alcoholism,75-0894,FY2014,2014,75-0894 /14 - National Institute on Alcohol Abuse and Alcoholism,$42.0M,$453.3M,9.3%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,State Grants and Demonstrations,75-0516,FY2012-FY2016,2016,75-0516 12/16 - State Grants and Demonstrations,$448.9M,$448.9M,100.0%
Department of Health and Human Services,Administration for Children and Families,Promoting Safe and Stable Families,75-1512,FY2014,2014,75-1512 /14 - Promoting Safe and Stable Families,$33.6M,$426.3M,7.9%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,State Grants and Demonstrations,75-0516,FY2013-FY2016,2016,75-0516 13/16 - State Grants and Demonstrations,$426.0M,$426.0M,100.0%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,State Grants and Demonstrations,75-0516,FY2014-FY2016,2016,75-0516 14/16 - State Grants and Demonstrations,$417.6M,$417.6M,100.0%
Department of Health and Human Services,National Institutes of Health,National Library of Medicine,75-0807,FY2014,2014,75-0807 /14 - National Library of Medicine,$91.7M,$414.5M,22.1%
Department of Health and Human Services,Departmental Management,Public Health and Social Services Emergency Fund,75-0140,FY2014-FY2015,2015,75-0140 14/15 - Public Health and Social Services Emergency Fund,$78.1M,$413.5M,18.9%
Department of Health and Human Services,National Institutes of Health,National Institute on Deafness and Other Communication Disorders,75-0890,FY2014,2014,75-0890 /14 - National Institute on Deafness and Other Communication Disorders,$10.6M,$406.8M,2.6%
Department of Health and Human Services,Centers for Disease Control and Prevention,World Trade Center Health Program Fund,75-0946,FY2014,2014,75-0946 /14 - World Trade Center Health Program Fund,$214.1M,$405.2M,52.8%
Department of Health and Human Services,National Institutes of Health,National Institute of Dental and Craniofacial Research,75-0873,FY2014,2014,75-0873 /14 - National Institute of Dental and Craniofacial Research,$37.9M,$400.9M,9.5%
Department of Health and Human Services,Health Resources and Services Administration,"Maternal, Infant, and Early Childhood Home Visiting Programs",75-0321,No Year,No Year,"75-0321 /X - Maternal, Infant, and Early Childhood Home Visiting Programs",$125.7M,$396.9M,31.7%
Department of Health and Human Services,Centers for Disease Control and Prevention,Emerging and Zoonotic Infectious Diseases,75-0949,FY2014,2014,75-0949 /14 - Emerging and Zoonotic Infectious Diseases,$38.1M,$391.6M,9.7%
Department of Health and Human Services,Agency for Healthcare Research and Quality,Healthcare Research and Quality,75-1700,FY2014,2014,75-1700 /14 - Healthcare Research and Quality,$107.1M,$387.7M,27.6%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,"Medicare Prescription Drug Account, Federal Supplementary Insura",75-8308,FY2014,2014,"75-8308 /14 - Medicare Prescription Drug Account, Federal Supplementary Insura",$105.5M,$374.0M,28.2%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,State Grants and Demonstrations,75-0516,No Year,No Year,75-0516 /X - State Grants and Demonstrations,$290.1M,$355.9M,81.5%
Department of Health and Human Services,Health Resources and Services Administration,Ryan White HIV/AIDS Program,75-0356,FY2014,2014,75-0356 /14 - Ryan White HIV/AIDS Program,$38.0M,$349.2M,10.9%
Department of Health and Human Services,Health Resources and Services Administration,Primary Health Care Access,75-0352,No Year,No Year,75-0352 /X - Primary Health Care Access,$88.9M,$333.9M,26.6%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Patient Protection and Affordable Care - Program Management,75-0509,No Year,No Year,75-0509 /X - Patient Protection and Affordable Care - Program Management,$282.3M,$332.2M,85.0%
Department of Health and Human Services,National Institutes of Health,National Institute of Biomedical Imaging and Bioengineering,75-0898,FY2014,2014,75-0898 /14 - National Institute of Biomedical Imaging and Bioengineering,$60.8M,$332.1M,18.3%
Department of Health and Human Services,Centers for Disease Control and Prevention,National Institute for Occupational Safety and Health,75-0953,FY2014,2014,75-0953 /14 - National Institute for Occupational Safety and Health,$29.0M,$331.9M,8.7%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,State Grants and Demonstrations,75-0516,FY2011-FY2016,2016,75-0516 11/16 - State Grants and Demonstrations,$55.6M,$324.4M,17.1%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Program Management - Recovery Act,75-0510,No Year,No Year,75-0510 /X - Program Management - Recovery Act,$207.9M,$301.2M,69.0%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Health Care Fraud and Abuse Control Account,75-8393,FY2014-FY2015,2015,75-8393 14/15 - Health Care Fraud and Abuse Control Account,$123.6M,$293.6M,42.1%
Department of Health and Human Services,Health Resources and Services Administration,Family Planning,75-0359,FY2014,2014,75-0359 /14 - Family Planning,$23.0M,$285.8M,8.1%
Department of Health and Human Services,Centers for Disease Control and Prevention,Global Health,75-0955,FY2014,2014,75-0955 /14 - Global Health,$37.3M,$277.3M,13.4%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Program Management,75-0511,No Year,No Year,75-0511 /X - Program Management,$223.3M,$276.7M,80.7%
Department of Health and Human Services,National Institutes of Health,National Institute on Minority Health and Health Disparities,75-0897,FY2014,2014,75-0897 /14 - National Institute on Minority Health and Health Disparities,$25.4M,$269.2M,9.4%
Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,Substance Abuse Prevention,75-1365,FY2014,2014,75-1365 /14 - Substance Abuse Prevention,$171.7M,$268.7M,63.9%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Consumer Operated and Oriented Plan Program Contingency Fund,75-0524,No Year,No Year,75-0524 /X - Consumer Operated and Oriented Plan Program Contingency Fund,$170.3M,$229.8M,74.1%
Department of Health and Human Services,Office of the Inspector General,Office of the Inspector General,75-0128,No Year,No Year,75-0128 /X - Office of the Inspector General,$23.3M,$199.6M,11.7%
Department of Health and Human Services,Centers for Disease Control and Prevention,CDC-Wide Activities and Program Support,75-0943,No Year,No Year,75-0943 /X - CDC-Wide Activities and Program Support,$155.6M,$199.0M,78.2%
Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,Health Surveillance and Program Support,75-1362,FY2014,2014,75-1362 /14 - Health Surveillance and Program Support,$72.8M,$188.6M,38.6%
Department of Health and Human Services,Health Resources and Services Administration,Primary Health Care Access,75-0352,FY2011-FY2015,2015,75-0352 11/15 - Primary Health Care Access,$120.4M,$179.8M,67.0%
Department of Health and Human Services,Centers for Disease Control and Prevention,Environmental Health,75-0947,FY2014,2014,75-0947 /14 - Environmental Health,$26.3M,$179.2M,14.7%
Department of Health and Human Services,Health Resources and Services Administration,Health Centers Malpractice Claims,75-0365,No Year,No Year,75-0365 /X - Health Centers Malpractice Claims,$106.9M,$166.4M,64.2%
Department of Health and Human Services,Health Resources and Services Administration,Program Management,75-0361,FY2014,2014,75-0361 /14 - Program Management,$26.2M,$158.5M,16.5%
Department of Health and Human Services,Centers for Disease Control and Prevention,Injury Prevention and Control,75-0952,FY2014,2014,75-0952 /14 - Injury Prevention and Control,$27.1M,$150.3M,18.0%
Department of Health and Human Services,Health Resources and Services Administration,Rural Health,75-0358,FY2014,2014,75-0358 /14 - Rural Health,$93.5M,$142.0M,65.9%
Department of Health and Human Services,National Institutes of Health,National Institute of Nursing Research,75-0889,FY2014,2014,75-0889 /14 - National Institute of Nursing Research,$23.7M,$141.0M,16.8%
Department of Health and Human Services,Centers for Disease Control and Prevention,Global Health,75-0955,FY2014-FY2015,2015,75-0955 14/15 - Global Health,$16.8M,$135.7M,12.4%
Department of Health and Human Services,Centers for Disease Control and Prevention,"Birth Defects, Developmental Disabilities, Disabilities and Heal",75-0958,FY2014,2014,"75-0958 /14 - Birth Defects, Developmental Disabilities, Disabilities and Heal",$10.2M,$131.9M,7.8%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Program Management,75-0511,FY2013-FY2018,2018,75-0511 13/18 - Program Management,$58.8M,$131.5M,44.7%
Department of Health and Human Services,Departmental Management,Transfers from the Patient-Centered Outcomes Research Trust Fund,75-0145,No Year,No Year,75-0145 /X - Transfers from the Patient-Centered Outcomes Research Trust Fund,$74.1M,$130.8M,56.6%
Department of Health and Human Services,National Institutes of Health,Building and Facilities,75-0838,FY2014-FY2018,2018,75-0838 14/18 - Building and Facilities,$69.6M,$130.8M,53.2%
Department of Health and Human Services,National Institutes of Health,National Center for Complementary and Alternative Medicine,75-0896,FY2014,2014,75-0896 /14 - National Center for Complementary and Alternative Medicine,$10.9M,$124.8M,8.8%
Department of Health and Human Services,National Institutes of Health,Office of the Director,75-0846,FY2013-FY2015,2015,75-0846 13/15 - Office of the Director,$10.1M,$124.1M,8.1%
Department of Health and Human Services,National Institutes of Health,National Institutes of Health Management Fund,75-3966,FY2014-FY2016,2016,75-3966 14/16 - National Institutes of Health Management Fund,$102.8M,$122.1M,84.2%
Department of Health and Human Services,Program Support Center,National Institutes of Health Conditional Gift Fund,75-8253,No Year,No Year,75-8253 /X - National Institutes of Health Conditional Gift Fund,$78.0M,$111.3M,70.0%
Department of Health and Human Services,Health Resources and Services Administration,Health Care Systems,75-0357,FY2014,2014,75-0357 /14 - Health Care Systems,$56.9M,$103.7M,54.9%
Department of Health and Human Services,National Institutes of Health,National Institutes of Health Management Fund,75-3966,FY2013-FY2015,2015,75-3966 13/15 - National Institutes of Health Management Fund,$76.4M,$99.0M,77.1%
Department of Health and Human Services,Office of the Inspector General,Office of the Inspector General,75-0128,FY2014,2014,75-0128 /14 - Office of the Inspector General,$20.0M,$92.0M,21.8%
Department of Health and Human Services,Centers for Disease Control and Prevention,"Toxic Substances and Environmental Public Health, Agency for Tox",75-0944,FY2014,2014,"75-0944 /14 - Toxic Substances and Environmental Public Health, Agency for Tox",$19.6M,$87.5M,22.5%
Department of Health and Human Services,Administration for Children and Families,Children and Families Services Programs,75-1536,FY2013-FY2015,2015,75-1536 13/15 - Children and Families Services Programs,$73.5M,$87.1M,84.4%
Department of Health and Human Services,Departmental Management,Office of Medicare Hearings and Appeals,75-0139,FY2014,2014,75-0139 /14 - Office of Medicare Hearings and Appeals,$12.0M,$82.4M,14.6%
Department of Health and Human Services,Departmental Management,Office of the National Coordinator for Health Information Techno,75-0130,FY2014,2014,75-0130 /14 - Office of the National Coordinator for Health Information Techno,$33.4M,$80.4M,41.6%
Department of Health and Human Services,National Institutes of Health,National Institutes of Health Management Fund,75-3966,FY2012-FY2014,2014,75-3966 12/14 - National Institutes of Health Management Fund,$43.9M,$79.4M,55.3%
Department of Health and Human Services,Administration for Children and Families,Promoting Safe and Stable Families,75-1512,No Year,No Year,75-1512 /X - Promoting Safe and Stable Families,$31.8M,$78.0M,40.7%
Department of Health and Human Services,National Institutes of Health,John E. Fogarty International Center,75-0819,FY2014,2014,75-0819 /14 - John E. Fogarty International Center,$12.4M,$72.9M,17.0%
Department of Health and Human Services,Administration for Children and Families,Children's Research and Technical Assistance,75-1553,No Year,No Year,75-1553 /X - Children's Research and Technical Assistance,$19.6M,$71.3M,27.5%
Department of Health and Human Services,Health Resources and Services Administration,Health Workforce,75-0353,No Year,No Year,75-0353 /X - Health Workforce,$41.4M,$66.3M,62.5%
Department of Health and Human Services,Administration for Children and Families,Refugee and Entrant Assistance,75-1503,FY2014,2014,75-1503 /14 - Refugee and Entrant Assistance,$18.3M,$60.2M,30.4%
Department of Health and Human Services,Departmental Management,Health Insurance Reform Implementation Fund,20-75-0119,No Year,No Year,20-75-0119 /X - Health Insurance Reform Implementation Fund,$15.7M,$54.5M,28.8%
Department of Health and Human Services,Centers for Disease Control and Prevention,Energy Employees Occupational Illness Compensation Program,75-0954,No Year,No Year,75-0954 /X - Energy Employees Occupational Illness Compensation Program,$1.5M,$53.2M,2.8%
Department of Health and Human Services,National Institutes of Health,National Institutes of Health,75-5145,No Year,No Year,75-5145 /X - National Institutes of Health,$43.0M,$52.2M,82.3%
Department of Health and Human Services,Program Support Center,National Institutes of Health Unconditional Gift Fund,75-8248,No Year,No Year,75-8248 /X - National Institutes of Health Unconditional Gift Fund,$49.1M,$50.4M,97.4%
Department of Health and Human Services,Health Resources and Services Administration,Health Education Assistance Loans Financing Accounts,75-4304,No Year,No Year,75-4304 /X - Health Education Assistance Loans Financing Accounts,$0.0M,$46.5M,0.0%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Program Management,75-0511,FY2012-FY2017,2017,75-0511 12/17 - Program Management,$12.1M,$44.0M,27.5%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Consumer Operated and Oriented Plan Financing Account,75-4418,No Year,No Year,75-4418 /X - Consumer Operated and Oriented Plan Financing Account,$19.9M,$41.4M,48.1%
Department of Health and Human Services,Office of the Inspector General,Office of the Inspector General,75-0128,FY2014-FY2015,2015,75-0128 14/15 - Office of the Inspector General,$13.4M,$39.4M,34.0%
Department of Health and Human Services,Departmental Management,Office for Civil Rights,75-0135,FY2014,2014,75-0135 /14 - Office for Civil Rights,$4.2M,$39.3M,10.7%
Department of Health and Human Services,Departmental Management,Health Insurance Reform Implementation Fund,75-0119,No Year,No Year,75-0119 /X - Health Insurance Reform Implementation Fund,$34.4M,$39.2M,87.6%
Department of Health and Human Services,Administration for Children and Families,Temporary Assistance for Needy Families,14-75-1552,FY2014,2014,14-75-1552 /14 - Temporary Assistance for Needy Families,$1.7M,$36.3M,4.7%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Rate Review Grants,75-0112,FY2010-FY2014,2014,75-0112 10/14 - Rate Review Grants,$31.8M,$31.8M,100.0%
Department of Health and Human Services,Program Support Center,Centers for Disease Control,75-8250,No Year,No Year,75-8250 /X - Centers for Disease Control,$16.9M,$31.1M,54.2%
Department of Health and Human Services,Administration for Children and Families,Social Services Block Grant,75-1534,No Year,No Year,75-1534 /X - Social Services Block Grant,$30.2M,$30.2M,100.0%
Department of Health and Human Services,National Institutes of Health,National Institutes of Health Management Fund,75-3966,No Year,No Year,75-3966 /X - National Institutes of Health Management Fund,$22.4M,$30.0M,74.5%
Department of Health and Human Services,Departmental Management,Public Health and Social Services Emergency Fund,75-0140,FY2013-FY2015,2015,75-0140 13/15 - Public Health and Social Services Emergency Fund,$17.2M,$28.2M,60.8%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Consumer Operated and Oriented Plan Program Account,75-0118,No Year,No Year,75-0118 /X - Consumer Operated and Oriented Plan Program Account,$27.4M,$27.4M,100.0%
Department of Health and Human Services,National Institutes of Health,National Institutes of Health Management Fund,75-3966,FY2013-FY2014,2014,75-3966 13/14 - National Institutes of Health Management Fund,$9.1M,$25.9M,35.2%
Department of Health and Human Services,Centers for Disease Control and Prevention,CDC-Wide Activities and Program Support,75-0943,FY2014-FY2018,2018,75-0943 14/18 - CDC-Wide Activities and Program Support,$14.8M,$23.8M,62.1%
Department of Health and Human Services,Departmental Management,Pregnancy Assistance Fund,75-0117,FY2014,2014,75-0117 /14 - Pregnancy Assistance Fund,$2.1M,$23.2M,9.1%
Department of Health and Human Services,Health Resources and Services Administration,Vaccine Injury Compensation,75-0320,No Year,No Year,75-0320 /X - Vaccine Injury Compensation,$22.8M,$22.8M,100.0%
Department of Health and Human Services,Agency for Healthcare Research and Quality,Healthcare Research and Quality,75-1700,No Year,No Year,75-1700 /X - Healthcare Research and Quality,$20.8M,$21.8M,95.4%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Program Management,75-0511,FY2013-FY2014,2014,75-0511 13/14 - Program Management,$18.4M,$21.0M,87.4%
Department of Health and Human Services,Administration for Community Living,Aging Services Programs,75-0142,No Year,No Year,75-0142 /X - Aging Services Programs,$20.3M,$20.3M,100.0%
Department of Health and Human Services,Program Support Center,"Contributions, Indian Health Facilities",75-8073,No Year,No Year,"75-8073 /X - Contributions, Indian Health Facilities",$11.3M,$20.3M,55.8%
Department of Health and Human Services,Indian Health Service,IHS Quarters and Maintenance,75-5071,No Year,No Year,75-5071 /X - IHS Quarters and Maintenance,$10.2M,$19.2M,53.1%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Health Care Fraud and Abuse Control Account,75-8393,FY2013-FY2014,2014,75-8393 13/14 - Health Care Fraud and Abuse Control Account,$9.5M,$17.3M,54.9%
Department of Health and Human Services,Administration for Children and Families,Child Care Entitlement to States,14-75-1550,FY2014,2014,14-75-1550 /14 - Child Care Entitlement to States,$2.0M,$15.5M,12.6%
Department of Health and Human Services,Health Resources and Services Administration,Health Resources and Services,75-0350,No Year,No Year,75-0350 /X - Health Resources and Services,$9.7M,$14.5M,66.5%
Department of Health and Human Services,Centers for Disease Control and Prevention,"Toxic Substances and Environmental Public Health, Agency for Tox",75-0944,No Year,No Year,"75-0944 /X - Toxic Substances and Environmental Public Health, Agency for Tox",$11.7M,$14.4M,81.5%
Department of Health and Human Services,National Institutes of Health,National Cancer Institute,75-0849,No Year,No Year,75-0849 /X - National Cancer Institute,$12.8M,$14.0M,91.3%
Department of Health and Human Services,Administration for Children and Families,Children's Research and Technical Assistance,75-1553,FY2014,2014,75-1553 /14 - Children's Research and Technical Assistance,$6.6M,$13.9M,47.1%
Department of Health and Human Services,National Institutes of Health,Building and Facilities,75-0838,FY2013-FY2017,2017,75-0838 13/17 - Building and Facilities,$5.2M,$13.8M,37.8%
Department of Health and Human Services,Administration for Children and Families,Payments to States for the Child Care and Development Block Gran,14-75-1515,FY2014,2014,14-75-1515 /14 - Payments to States for the Child Care and Development Block Gran,$2.6M,$12.9M,20.0%
Department of Health and Human Services,Health Resources and Services Administration,Health Resources and Services,75-0350,FY2014-FY2015,2015,75-0350 14/15 - Health Resources and Services,$7.7M,$12.8M,60.4%
Department of Health and Human Services,Health Resources and Services Administration,Ryan White HIV/AIDS Program,75-0356,FY2013-FY2015,2015,75-0356 13/15 - Ryan White HIV/AIDS Program,$9.5M,$12.7M,74.5%
Department of Health and Human Services,Food and Drug Administration,Revolving Fund for Certification and Other Services,75-4309,No Year,No Year,75-4309 /X - Revolving Fund for Certification and Other Services,$5.2M,$12.3M,42.3%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,State Grants and Demonstrations,75-0516,FY2010-FY2016,2016,75-0516 10/16 - State Grants and Demonstrations,$12.0M,$12.0M,100.0%
Department of Health and Human Services,Departmental Management,Office for Civil Rights,75-0135,No Year,No Year,75-0135 /X - Office for Civil Rights,$6.9M,$10.8M,63.9%
Department of Health and Human Services,Departmental Management,"Office of the Natl Coordinator for Health Info Tech, Recovery Ac",75-0131,No Year,No Year,"75-0131 /X - Office of the Natl Coordinator for Health Info Tech, Recovery Ac",$10.4M,$10.4M,100.0%
Department of Health and Human Services,National Institutes of Health,Building and Facilities,75-0838,No Year,No Year,75-0838 /X - Building and Facilities,$6.1M,$10.0M,61.3%
Department of Health and Human Services,Departmental Management,Public Health and Social Services Emergency Fund,75-0140,FY2014-FY2016,2016,75-0140 14/16 - Public Health and Social Services Emergency Fund,$9.6M,$9.9M,97.2%
Department of Health and Human Services,Food and Drug Administration,Building and Facilities,75-0603,No Year,No Year,75-0603 /X - Building and Facilities,$6.4M,$9.7M,66.2%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,State Grants and Demonstrations,75-0516,FY2009-FY2016,2016,75-0516 09/16 - State Grants and Demonstrations,$6.4M,$9.4M,67.9%
Department of Health and Human Services,Health Resources and Services Administration,Health Resources and Services,75-0350,FY2013-FY2014,2014,75-0350 13/14 - Health Resources and Services,$0.2M,$9.2M,2.1%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,State Grants and Demonstrations,75-0516,FY2010-FY2015,2015,75-0516 10/15 - State Grants and Demonstrations,$4.4M,$7.4M,59.7%
Department of Health and Human Services,Centers for Disease Control and Prevention,"Cooperative Research and Development Agreements, Centers for Dis",75-5146,No Year,No Year,"75-5146 /X - Cooperative Research and Development Agreements, Centers for Dis",$5.4M,$7.2M,75.3%
Department of Health and Human Services,National Institutes of Health,Building and Facilities,75-0838,FY2012-FY2016,2016,75-0838 12/16 - Building and Facilities,$5.9M,$7.2M,81.6%
Department of Health and Human Services,Health Resources and Services Administration,Covered Countermeasure Process Fund,75-0343,No Year,No Year,75-0343 /X - Covered Countermeasure Process Fund,$3.7M,$7.1M,51.8%
Department of Health and Human Services,Centers for Disease Control and Prevention,CDC-Wide Activities and Program Support,75-0943,FY2012-FY2016,2016,75-0943 12/16 - CDC-Wide Activities and Program Support,$4.4M,$6.2M,70.3%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Health Insurance Consumer Information,75-0111,No Year,No Year,75-0111 /X - Health Insurance Consumer Information,$6.1M,$6.1M,100.0%
Department of Health and Human Services,Office of the Inspector General,Office of the Inspector General,75-0128,FY2013-FY2014,2014,75-0128 13/14 - Office of the Inspector General,$0.0M,$5.8M,0.1%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,State Grants and Demonstrations,75-0516,FY2009-FY2015,2015,75-0516 09/15 - State Grants and Demonstrations,$5.3M,$5.3M,100.0%
Department of Health and Human Services,Food and Drug Administration,Cooperative Research and Development,75-5148,No Year,No Year,75-5148 /X - Cooperative Research and Development,$3.4M,$5.3M,64.3%
Department of Health and Human Services,Centers for Disease Control and Prevention,CDC-Wide Activities and Program Support,75-0943,FY2010-FY2014,2014,75-0943 10/14 - CDC-Wide Activities and Program Support,$0.0M,$5.2M,0.5%
Department of Health and Human Services,Office of the Inspector General,Office of the Inspector General,75-0128,FY2013-FY2015,2015,75-0128 13/15 - Office of the Inspector General,$3.3M,$5.0M,66.3%
Department of Health and Human Services,Centers for Disease Control and Prevention,Global Health,75-0955,FY2013-FY2014,2014,75-0955 13/14 - Global Health,$1.8M,$4.4M,39.9%
Department of Health and Human Services,National Institutes of Health,National Library of Medicine,75-0807,FY2014-FY2015,2015,75-0807 14/15 - National Library of Medicine,$4.0M,$4.0M,100.0%
Department of Health and Human Services,Health Resources and Services Administration,Ryan White HIV/AIDS Program,75-0356,FY2012-FY2014,2014,75-0356 12/14 - Ryan White HIV/AIDS Program,$1.3M,$3.6M,36.7%
Department of Health and Human Services,Departmental Management,Public Health and Social Services Emergency Fund,75-0140,FY2012-FY2014,2014,75-0140 12/14 - Public Health and Social Services Emergency Fund,$0.7M,$3.5M,19.8%
Department of Health and Human Services,Health Resources and Services Administration,Health Center Guaranteed Loan Financing Account,75-4442,No Year,No Year,75-4442 /X - Health Center Guaranteed Loan Financing Account,$2.5M,$2.8M,88.7%
Department of Health and Human Services,Centers for Disease Control and Prevention,CDC-Wide Activities and Program Support,75-0943,FY2014-FY2015,2015,75-0943 14/15 - CDC-Wide Activities and Program Support,$0.4M,$2.4M,18.8%
Department of Health and Human Services,Centers for Disease Control and Prevention,CDC-Wide Activities and Program Support,75-0943,FY2014-FY2016,2016,75-0943 14/16 - CDC-Wide Activities and Program Support,$1.7M,$2.0M,86.6%
Department of Health and Human Services,Administration for Children and Families,Children and Families Services Programs,75-1536,No Year,No Year,75-1536 /X - Children and Families Services Programs,$1.9M,$1.9M,100.0%
Department of Health and Human Services,Program Support Center,Public Health Service Conditional Gift Fund,75-8254,No Year,No Year,75-8254 /X - Public Health Service Conditional Gift Fund,$1.8M,$1.8M,100.0%
Department of Health and Human Services,Departmental Management,General Departmental Management,75-0120,No Year,No Year,75-0120 /X - General Departmental Management,$1.7M,$1.7M,99.6%
Department of Health and Human Services,Health Resources and Services Administration,Health Education Assistance Loans Program Account,75-0340,FY2014,2014,75-0340 /14 - Health Education Assistance Loans Program Account,$0.0M,$1.7M,0.0%
Department of Health and Human Services,Administration for Children and Families,Refugee and Entrant Assistance,75-1503,FY2013-FY2015,2015,75-1503 13/15 - Refugee and Entrant Assistance,$0.7M,$1.6M,44.9%
Department of Health and Human Services,National Institutes of Health,National Library of Medicine,75-0807,FY2013-FY2014,2014,75-0807 13/14 - National Library of Medicine,$0.2M,$1.5M,12.9%
Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,Health Surveillance and Program Support,75-1362,No Year,No Year,75-1362 /X - Health Surveillance and Program Support,$1.5M,$1.5M,100.0%
Department of Health and Human Services,Centers for Disease Control and Prevention,CDC-Wide Activities and Program Support,75-0943,FY2012-FY2014,2014,75-0943 12/14 - CDC-Wide Activities and Program Support,$0.3M,$1.3M,20.7%
Department of Health and Human Services,Centers for Disease Control and Prevention,CDC-Wide Activities and Program Support,75-0943,FY2013-FY2017,2017,75-0943 13/17 - CDC-Wide Activities and Program Support,$0.1M,$1.3M,9.2%
Department of Health and Human Services,Centers for Disease Control and Prevention,CDC-Wide Activities and Program Support,75-0943,FY2013-FY2014,2014,75-0943 13/14 - CDC-Wide Activities and Program Support,$0.5M,$1.2M,39.3%
Department of Health and Human Services,Centers for Disease Control and Prevention,CDC-Wide Activities and Program Support,75-0943,FY2013-FY2015,2015,75-0943 13/15 - CDC-Wide Activities and Program Support,$0.8M,$1.2M,64.8%
Department of Health and Human Services,Health Resources and Services Administration,Free Clinics Malpractice Claims Fund,75-0330,No Year,No Year,75-0330 /X - Free Clinics Malpractice Claims Fund,$0.7M,$1.1M,59.9%
